id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,providedBy_reference_id,type_coding1_system,type_coding1_code,type_coding1_display,type_coding2_system,type_coding2_code,type_coding2_display,type_text,specialty_coding1_system,specialty_coding1_code,specialty_coding1_display,specialty_text,location_reference_id,name,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emergencydepartment-tarampa-emergency,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373081,,,,,,true,tarampa-emergency,http://snomed.info/sct,310000008,Emergency department service,,,,Emergency Department Services,,,,,tarampa-emergency,Tarampa Emergency,phone,0755506613,work,email,reception@tarampa.emergency.example.com.au,,,
specialistmedical-bayview-heights-oncology-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706851,,,,,,true,bayview-heights-oncology-clinic,http://snomed.info/sct,310138009,"	Surgical service",,,,Specialist medical clinic service,http://snomed.info/sct,394592004,Clinical oncology,Clinical Oncology Services,bayview-heights-oncology-clinic,Bayview Heights Oncology Clinic,phone,0755500329,work,email,reception@bayviewheightsoc.example.net,,,
publicacute-glennie-heights-public-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566705961,,,,,,true,glennie-heights-public-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Public acute care Hospital,,,,,glennie-heights-public-hospital,Glennie Heights Public Hospital,phone,0755501778,work,email,info@glennieheightph.example.com.au,,,
privateacute-barney-view-private-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706869,,,,,,true,barney-view-private-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Private acute care Hospital,,,,,barney-view-private-hospital,Barney View Private Hospital,phone,0755507777,work,email,info@barneyviewph.example.net,,,
diagnosticimaging-berat-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373099,,,,,,true,berat-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,berat-radiology,Berat Radiology,phone,0755508498,work,email,reception@beratradiology.example.com.au,,,
diagnosticimaging-mount-charlton-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373306,,,,,,true,mount-charlton-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,mount-charlton-radiology,Mount Charlton Radiology,phone,0755502224,work,email,reception@mouncharltonradiology.example.net,,,
pathologylaboratory-carrington-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706877,,,,,,true,carrington-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,carrington-pathology,Carrington Pathology,phone,0755503570,work,email,info@carringtonpathology.example.com.au,,,
pathologylaboratory-kioma-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566705995,,,,,,true,kioma-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,kioma-pathology,Kioma Pathology,phone,0755505000,work,email,info@kiomapathology.example.net,,,
pharmacyretail-east-mackay-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706893,,,,,,true,east-mackay-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,"Pharmacy, retail, operation",,,,,east-mackay-pharmacy,East Mackay Pharmacy,phone,0755505528,work,email,reception@eastmackaypharmacy.example.com.au,,,
communitypharmacy-cracow-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039105,,,,,,true,cracow-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,Community Pharmacy,,,,,cracow-pharmacy,Cracow Pharmacy,phone,0755500346,work,email,reception@cracowpharmacy.example.net,,,
generalmedical-elimbah-medical-centre,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040359,,,,,,true,elimbah-medical-centre,http://snomed.info/sct,700232004,General medical service,,,,General medical practitioner service,,,,,elimbah-medical-centre,Elimbah Medical Centre,phone,0755503997,work,email,info@elimbahmedicalcentre.example.com.au,,,
