id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,status,name,alias1,description,mode,type1_coding1_system,type1_coding1_code,type1_coding1_display,type1_coding2_system,type1_coding2_code,type1_coding2_display,telecom1_system,telecom1_value,telecom1_use,address1_text,address1_line1,address1_line2,address1_city,address1_state,address1_postalCode,address1_country,physicalType_coding1_system,physicalType_coding1_code,physicalType_coding1_display,managingOrganization_reference_id,partOf_reference_id
au-hospital-pharm-out,,,,,,,active,Friends Pharmacy - Barney View Private Hospital,,,instance,http://terminology.hl7.org/CodeSystem/v3-RoleCode,OUTPHARM,outpatient pharmacy,http://terminology.hl7.org/CodeSystem/v3-RoleCode,PHARM,Pharmacy,,,,,"Suite 14, Building 31",195 Maple Cct,Barney View,QLD,4287,,http://terminology.hl7.org/CodeSystem/location-physical-type,bu,Building,barney-view-private-hospital,barney-view-private-hospital
,au-hospital-sw-physio,,,,,B31-S.F2,active,Physiotherapy Offices - AU Hospital,,"Second floor, South Wing, Physiotherapy Offices",instance,,,,,,,,,,,"Suite 15, Building 31",54301 Stanley St,South Brisbane,QLD,4101,AU,http://terminology.hl7.org/CodeSystem/location-physical-type,wi,Wing,hospital-int,au-hospital
,au-hospital,,,,https://au-hospitals.example.com.au,qldhhs,active,QLD Hospital,Queensland Hospital,,instance,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HOSP,Hospital,,,,phone,(07) 5550 3333,,"54301 Stanley St, South Brisbane QLD 4101",54301 Stanley St,,South Brisbane,QLD,4101,AU,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,hospital-au,
,au-jurisdiction,,,,,,,Jurisdiction of Australia,,,kind,http://snomed.info/sct,223621005,Australia,,,,,,,,,,,,,,http://terminology.hl7.org/CodeSystem/location-physical-type,jdn,Jurisdiction,,
,bobrester-medical-center,,,,,,active,Tindal Building,Bobrester Medical Center,,instance,http://terminology.hl7.org/CodeSystem/v3-RoleCode,FMC,Family medicine clinic,http://snomed.info/sct,288565001,Medical centre,,,,,87 Western Esp,,Tindal RAAF,QLD,4655,AU,http://terminology.hl7.org/CodeSystem/location-physical-type,bu,Building,,
,mitchells-hill-audiology,,,,,,active,Mitchells Hill Audiology,,,instance,,,,,,,,,,,87 Freedom Pnt,,Mitchells Hill,VIC,3478,AU,http://terminology.hl7.org/CodeSystem/location-physical-type,bu,Building,mitchells-hill-audiology,
,murrabit-hospital,,,,,,,Murrabit Public Hospital,,,instance,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HOSP,Hospital,http://snomed.info/sct,22232009,Hospital,phone,(03) 5550 3333,,,144 Central Gdns,,Murrabit,VIC,3579,AU,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,,
patient-home,,,,,,,active,Patient's home,,,kind,http://snomed.info/sct,394778007,Client's or patient's home,,,,,,,,,,,,,,http://terminology.hl7.org/CodeSystem/location-physical-type,ho,House,,
,pharmacy,,,,,,,,,,instance,http://terminology.hl7.org/CodeSystem/v3-RoleCode,PHARM,Pharmacy,,,,,,,,6 Macquarie St,,Sydney,NSW,2000,AU,http://terminology.hl7.org/CodeSystem/location-physical-type,bu,Building,,
renal-dialysis-unit,renal-dialysis-unit,,,,http://barneyviewph.example.net/Identifier/units,rdu,active,Renal Dialysis Unit  - Barney View Private Hospital,,,instance,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HD,Hemodialysis unit,,,,phone,(07) 5550 3335,,,Building 18,195 Maple Cct,Barney View,QLD,4287,,http://terminology.hl7.org/CodeSystem/location-physical-type,wi,Wing,barney-view-private-hospital,barney-view-private-hospital
tarampa-emergency,,,,,,,,Tarampa Emergency,,,instance,,,,,,,,,,,142 Newport St,,Tarampa,QLD,4311,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,tarampa-emergency,
bayview-heights-oncology-clinic,,,,,,,,Bayview Heights Oncology Clinic,,,instance,,,,,,,,,,,120 Dean Ct,,Bayview Heights,QLD,4868,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,bayview-heights-oncology-clinic,
glennie-heights-public-hospital,,,,,,,,Glennie Heights Public Hospital,,,instance,,,,,,,,,,,56 Central Gdns,,Glennie Heights,QLD,4370,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,glennie-heights-public-hospital,
barney-view-private-hospital,,,,,,,,Barney View Private Hospital,,,instance,,,,,,,,,,,195 Maple Cct,,Barney View,QLD,4287,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,barney-view-private-hospital,
berat-radiology,,,,,,,,Berat Radiology,,,instance,,,,,,,,,,,170 Compton Way,,Berat,QLD,4362,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,berat-radiology,
mount-charlton-radiology,,,,,,,,Mount Charlton Radiology,,,instance,,,,,,,,,,,7 Desleigh Rdge,,Mount Charlton,QLD,4741,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,mount-charlton-radiology,
carrington-pathology,,,,,,,,Carrington Pathology,,,instance,,,,,,,,,,,142 East Way,,Carrington,QLD,4350,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,carrington-pathology,
kioma-pathology,,,,,,,,Kioma Pathology,,,instance,,,,,,,,,,,15 Hazlett Est,,Kioma,QLD,4498,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,kioma-pathology,
east-mackay-pharmacy,,,,,,,,East Mackay Pharmacy,,,instance,,,,,,,,,,,138 Homer St,,East Mackay,QLD,4740,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,east-mackay-pharmacy,
