id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,type_coding1_system,type_coding1_code,type_coding1_display,type_coding2_system,type_coding2_code,type_coding2_display,type_text,name,alias1,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,address1_type,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,address1_text,partOf_reference_type,partOf_reference_id,,
,aaaaaia-insurer,XX,,ABN,http://hl7.org.au/id/abn,23964200000,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,6321,,,,,Health Insurance,AAAAAIA HI PTY LTD,,phone,1300 975 711,work,,,,,,,,,,,,,,
adv-hearing-care,,XX,,ABN,http://hl7.org.au/id/abn,12345678901,,,,,,true,,,,,,,,Audiology Advanced Hearing Care,,email,info@ahc.example.com,work,,,,,,,,,,,,,,
missing-name,,XX,,ABN,http://hl7.org.au/id/abn,12345678901,,,,,,true,,,,,,,,,,email,info@ahc.example.com,work,,,,,,,,,,,,,,
,bobrester-medical-center,XX,,ABN,http://hl7.org.au/id/abn,12345678901,,,,,,,http://snomed.info/sct,288565001,Medical centre,,,,Medical Centre,Bobrester Medical Center,,email,info@bobrestermedical.example.com,work,phone,(07) 5550 2427,work,,87 Western Esp,Tindal RAAF,QLD,4655,AU,,,,,
,dva-au,XX,,ABN,http://hl7.org.au/id/abn,23964290824,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,7510,,,,,Commonwealth Government Entity,Australian Government Department of Veterans' Affairs,,url,https://www.dva.gov.au/,work,,,,,,,,,,,,,,
,health-au,XX,,ABN,http://hl7.org.au/id/abn,83605426759,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,7510,,,,,Commonwealth Government Entity,Australian Government Department of Health and Aged Care,,url,https://www.health.gov.au,work,,,,,,,,,,,,,,
,hospital-au,XX,,ABN,http://hl7.org.au/id/abn,66824753003,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HOSP,,Hospital,Hospital Australia,AU Hospitals,phone,(03) 5550 3333,,,,,,54301 Stanley St,South Brisbane,QLD,4101,AU,"54301 Stanley St, South Brisbane QLD 4101",Organization,hospital-int,,
,hospital-int,XX,,ABN,http://hl7.org.au/id/abn,66824753003,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HOSP,,Hospital,Hospitals International,International Hospital Care,phone,(03) 5550 3333,,url,https://international.hospitals.example.com,,,,,,,,,,,,
,mitchells-hill-audiology,XX,,ABN,http://hl7.org.au/id/abn,81129842694,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8539,Other Allied Health Services,,,,,Mitchells Hill Audiology,,phone,(03) 5550 3095,,email,reception@mitchellshillaudiology.example.com.au,work,physical,87 Freedom Pnt,Mitchells Hill,VIC,3478,AU,,,,,
,murrabit-hospital,XX,,ABN,http://hl7.org.au/id/abn,81156473823,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (Except Psychiatric Hospitals),,,,,Murrabit Public Hospital,,phone,0355509111,,email,reception@murrabitph.example.com.au,,,144 Central Gdns,Murrabit,VIC,3579,AU,,,,,
,pharmacy,,,,,,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",,,,Retail Pharmacy,A Chain Retail Pharmacy,,,,,,,,,6 Macquarie St,Sydney,NSW,2000,AU,,,,,
,services-au,XX,,ABN,http://hl7.org.au/id/abn,90794605008,,,,,,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,7510,,,,,Commonwealth Government Entity,Services Australia,,url,https://www.servicesaustralia.gov.au,work,,,,,,,,,,,Organization,health-au,,
tarampa-emergency,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373081,XX,,ABN,http://hl7.org.au/id/abn,81164509007,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310000008,Emergency department service,Emergency Department Services,Tarampa Emergency,,phone,0755506613,work,email,reception@tarampa.emergency.example.com.au,,,142 Newport St,Tarampa,QLD,4311,,,,,,
bayview-heights-oncology-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706851,XX,,ABN,http://hl7.org.au/id/abn,81128537858,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310138009,"	Surgical service",Clinical Oncology Services,Bayview Heights Oncology Clinic,,phone,0755500329,work,email,reception@bayviewheightsoc.example.net,,,120 Dean Ct,Bayview Heights,QLD,4868,,,,,,
glennie-heights-public-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566705961,XX,,ABN,http://hl7.org.au/id/abn,81133686670,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Glennie Heights Public Hospital,,phone,0755501778,work,email,info@glennieheightph.example.com.au,,,56 Central Gdns,Glennie Heights,QLD,4370,,,,,,
barney-view-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706869,XX,,ABN,http://hl7.org.au/id/abn,81193972254,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Barney View Private Hospital,,phone,0755507777,work,email,info@barneyviewph.example.net,,,195 Maple Cct,Barney View,QLD,4287,,,,,,
